Row,Col,PPReg
79,9,64
81,10,64
64,9,64
42,7,153
44,5,158
54,4,64
48,4,157
36,7,64
51,4,64
43,6,153
49,6,157
76,6,64
53,5,153
79,6,155
50,5,157
57,4,159
68,2,155
59,2,155
8,20,170
4,21,173
11,14,152
12,19,169
8,14,152
15,13,169
14,11,156
11,20,156
10,12,156
6,13,64
10,21,64
34,15,156
18,19,171
17,11,64
22,12,156
13,12,173
2,20,64
44,17,64
12,22,64
3,19,64
1,24,64
24,16,64
19,12,171
25,21,64
29,8,171
38,14,175
26,17,171
33,19,64
10,24,64
30,10,171
23,11,154
50,14,64
41,8,175
33,7,175
37,9,154
16,12,64
43,15,64
44,14,64
32,8,175
36,13,64
41,11,64
31,9,175
68,8,154
34,9,175
60,10,154
28,9,158
76,9,171
74,11,64
40,6,64
19,18,169
22,18,173
21,22,64
1,21,64
21,19,64
4,18,64
49,15,64
11,17,64
58,9,64
82,6,64
81,7,186
80,5,64
75,7,64
64,6,64
17,23,64
17,20,64
13,21,64
30,19,64
53,14,64
33,16,64
59,8,64
85,6,64
23,20,64
56,14,64
43,9,64
70,6,64
67,9,64
61,6,64
21,16,64
40,18,64
28,18,64
1,18,186
59,14,64
13,15,64
55,12,64
57,7,64
9,25,64
3,25,64
80,8,64
37,18,64
8,17,64
22,21,64
62,14,64
25,15,64
84,7,64
61,3,64
94,9,158
106,12,64
64,4,64
113,29,64
19,30,169
54,28,152
2,35,175
30,28,173
28,33,154
20,32,173
18,25,152
17,32,64
34,30,171
12,31,157
26,32,171
29,32,64
40,30,64
9,34,64
15,28,64
42,28,156
33,31,154
34,27,158
50,26,64
81,22,175
53,20,173
3,28,64
49,24,156
13,27,64
4,27,154
66,25,173
17,29,64
10,36,156
42,31,153
30,22,64
28,24,64
44,29,64
63,25,64
58,27,156
25,24,64
27,28,156
51,28,64
74,17,156
84,19,64
54,22,64
32,23,64
61,24,64
67,21,64
29,23,64
88,21,64
105,16,64
102,19,64
43,27,64
68,23,157
88,15,159
59,17,64
88,18,64
55,18,153
87,19,64
70,18,154
50,17,64
92,11,64
64,18,158
83,14,64
92,14,64
86,14,64
76,18,154
85,18,64
105,10,64
93,13,64
79,12,64
104,14,64
88,12,64
90,10,64
99,10,64
10,33,171
15,31,64
27,34,159
3,34,175
22,33,64
17,35,64
7,30,64
45,28,175
22,30,64
77,23,64
48,22,64
40,27,184
44,26,64
41,29,64
10,27,64
2,32,64
56,23,64
40,21,64
28,21,64
83,20,64
65,14,64
95,14,64
77,20,64
37,24,64
69,16,64
69,22,64
93,16,64
54,16,64
68,17,64
80,14,64
77,11,64
103,18,64
35,20,159
84,10,64
99,13,64
95,11,64
109,12,64
98,8,159
95,8,64
92,8,64
100,9,64
1,33,173
47,26,154
55,27,64
39,28,64
12,25,157
2,29,64
33,25,64
23,23,64
73,24,175
18,28,64
36,31,64
64,21,157
65,17,64
98,17,64
80,20,64
102,10,175
74,20,64
61,18,158
89,17,156
112,15,64
83,17,64
85,15,153
73,15,64
60,16,175
103,15,64
103,9,64
61,15,64
85,12,64
118,12,175
19,33,174
5,38,64
18,34,64
11,29,64
14,26,155
59,26,188
31,30,64
38,26,64
55,21,64
73,18,64
99,16,64
72,13,64
101,11,64
86,11,64
105,13,64
11,32,64
11,35,175
24,28,64
12,37,64
49,21,64
53,17,64
47,29,64
76,24,64
37,21,64
62,20,64
49,18,64
64,15,153
78,16,64
76,15,64
89,11,64
100,12,64
57,28,173
9,28,156
18,31,64
60,19,64
85,21,64
58,15,64
88,9,64
68,26,64
28,27,156
95,17,64
58,21,156
61,21,64
97,18,64
75,13,64
46,21,173
26,26,64
53,23,64
124,18,175
122,17,158
112,18,64
125,17,154
32,38,152
27,37,174
31,39,174
22,39,174
13,39,174
73,30,174
69,31,174
56,32,152
54,34,169
26,38,169
64,30,156
78,34,152
60,31,169
25,39,152
34,36,156
66,31,152
32,41,64
61,30,169
30,43,64
8,41,156
62,35,64
39,34,152
77,29,173
59,38,64
10,42,156
56,38,64
50,35,64
35,38,64
32,44,64
89,32,64
93,25,169
95,26,152
53,32,173
5,41,173
75,28,156
48,31,152
24,43,64
95,32,64
38,38,158
6,40,64
56,29,64
75,37,64
45,31,64
68,38,64
84,28,173
51,31,173
42,37,64
48,43,64
103,24,173
54,31,173
50,32,156
88,33,64
120,25,64
60,34,64
94,30,64
117,22,64
102,25,64
77,32,64
80,32,64
70,30,171
104,29,64
25,42,64
87,22,64
82,27,171
66,28,175
87,28,64
97,30,64
111,25,64
25,36,64
44,32,64
86,26,173
104,23,156
93,31,64
100,30,64
81,25,64
118,27,64
111,28,64
91,27,156
120,28,64
88,30,64
102,28,64
95,23,156
34,33,64
107,23,171
69,28,171
104,20,64
126,25,64
97,24,154
101,23,156
76,30,153
116,26,64
111,22,171
116,20,156
114,22,171
84,25,175
108,22,171
70,27,64
92,23,171
122,20,171
112,21,154
94,21,154
106,21,171
117,19,171
102,22,154
113,20,154
115,21,175
126,19,175
127,18,154
114,19,154
26,44,64
55,33,173
23,41,175
55,39,64
53,41,64
36,40,64
14,38,64
64,39,175
43,33,173
46,42,64
101,29,64
32,35,64
66,37,64
55,36,64
73,33,64
37,39,64
67,33,64
82,36,64
114,25,64
53,29,64
75,25,64
28,36,64
107,29,64
94,27,64
106,30,64
117,25,64
85,24,64
105,19,64
29,44,64
44,41,64
91,30,64
38,44,64
64,33,152
37,45,64
59,35,64
74,35,64
57,37,64
87,34,64
51,40,64
99,31,64
110,26,64
109,30,64
78,25,64
114,28,64
116,23,64
109,24,64
108,25,64
67,27,64
58,36,64
83,29,64
50,38,64
92,29,64
59,41,64
90,31,64
92,32,64
46,39,64
96,28,64
76,33,64
101,26,64
98,20,64
96,22,64
11,38,64
52,39,64
35,44,64
65,38,64
41,44,64
103,27,64
42,40,64
123,22,64
93,34,64
119,23,64
60,28,64
97,33,64
72,34,64
73,36,64
124,24,64
54,40,64
124,27,64
40,33,64
109,18,64
124,21,64
107,26,64
107,44,64
105,43,64
88,48,64
92,44,64
113,41,64
64,48,153
51,49,64
68,44,169
121,39,64
71,41,169
48,49,64
40,45,152
85,42,64
60,43,64
88,42,64
86,44,64
100,39,64
99,40,173
89,38,64
93,46,64
73,48,64
93,40,64
44,44,173
55,48,64
74,50,64
77,38,171
95,38,64
102,34,64
100,33,64
95,41,64
42,49,64
53,47,64
119,32,159
46,45,158
60,46,64
90,40,154
70,39,175
74,38,64
45,46,173
101,38,64
72,43,64
119,38,64
91,39,64
84,43,156
107,38,64
54,43,64
114,34,64
60,49,64
76,45,64
97,36,64
44,47,64
67,42,64
125,35,64
113,35,64
111,37,64
79,39,64
126,28,64
122,29,175
127,27,64
122,35,64
112,33,64
119,35,156
96,43,174
108,43,64
43,48,171
103,45,64
101,44,64
66,43,64
65,41,64
108,40,64
126,40,64
65,53,64
92,35,175
70,48,64
78,46,155
82,48,64
68,41,64
80,41,64
108,37,64
120,34,64
112,42,64
107,41,64
62,50,64
98,35,64
47,44,171
117,34,173
120,31,173
109,39,64
70,51,64
79,42,64
59,44,173
83,41,173
89,35,154
64,45,175
125,38,64
73,39,64
103,33,171
59,50,173
87,37,64
58,45,171
70,45,175
49,45,169
100,45,64
74,41,64
106,39,154
110,38,64
73,51,64
89,41,64
104,38,188
75,43,154
97,39,64
83,44,64
93,37,64
65,47,156
82,39,64
64,42,64
83,47,64
117,40,64
106,42,64
118,42,64
56,44,171
105,34,64
104,32,154
76,48,64
116,38,64
108,31,175
78,40,64
49,48,174
111,40,174
64,51,64
93,43,64
54,49,64
120,37,174
56,50,169
67,48,64
97,45,64
69,43,64
53,50,64
64,35,174
111,31,64
88,36,171
124,36,64
118,39,175
63,49,64
81,40,155
124,39,64
112,36,64
110,35,175
58,48,158
77,41,64
85,45,64
46,48,64
115,33,64
56,47,175
61,51,64
121,30,64
57,43,173
66,52,64
126,31,64
118,36,64
63,52,64
94,45,64
55,45,64
113,38,64
87,46,64
92,38,64
75,40,64
88,45,64
67,51,64
109,42,64
89,44,64
69,46,64
106,33,64
118,30,64
110,32,64
85,36,188
102,43,64
65,50,174
90,37,64
77,46,174
70,50,174
53,46,64
75,48,64
51,45,174
71,52,64
68,49,64
63,42,158
47,46,174
52,44,169
30,45,64
50,49,64
53,49,64
79,50,175
72,45,171
32,43,175
30,42,64
61,41,171
65,52,64
89,46,173
64,47,159
59,52,64
47,40,152
41,43,173
61,44,64
50,46,64
24,39,64
39,36,64
57,45,64
78,45,64
72,48,152
14,37,64
9,36,64
63,45,64
44,43,64
45,39,64
15,39,64
35,37,64
71,43,173
34,44,64
54,42,175
5,40,64
24,36,173
34,35,175
56,43,64
26,37,155
56,40,64
12,39,64
10,35,64
68,52,64
73,44,64
76,47,155
56,46,175
64,41,156
42,42,156
2,28,64
35,40,173
46,41,159
13,35,64
29,43,64
53,43,64
37,41,173
41,37,64
12,30,64
10,32,64
4,38,156
7,32,158
49,38,64
77,49,171
18,36,64
13,32,64
3,33,64
20,40,64
20,37,64
28,41,64
52,41,64
6,30,171
20,31,64
25,35,171
68,46,156
63,48,64
60,45,173
92,46,174
59,46,169
64,50,64
8,37,152
42,36,154
61,50,64
34,38,152
75,51,64
71,46,152
75,45,64
62,49,64
38,40,158
90,48,169
36,45,174
8,40,64
50,43,158
62,40,64
60,39,152
80,49,171
57,39,175
60,51,64
62,52,64
67,47,158
34,47,64
6,39,64
55,50,64
5,31,64
59,40,171
76,50,64
15,42,64
31,44,64
13,41,64
4,32,64
43,47,64
47,37,171
4,29,153
14,31,173
50,40,64
7,35,64
17,31,64
44,40,64
19,32,64
17,34,64
51,42,64
30,39,154
23,40,64
51,39,175
32,46,64
66,42,64
22,41,158
45,45,154
26,34,64
33,45,64
41,46,64
77,43,152
69,48,153
49,41,64
45,48,64
31,41,64
78,48,64
73,47,64
82,47,159
74,46,64
80,46,64
40,41,173
42,45,64
39,39,155
5,28,64
33,36,158
22,32,64
23,34,64
7,41,64
59,49,64
5,37,64
27,36,64
26,43,64
25,38,64
12,33,175
21,42,64
24,42,64
27,42,64
29,40,64
53,40,64
47,49,64
35,46,64
11,37,64
11,31,64
2,34,64
23,43,64
56,49,64
20,43,64
67,50,64
16,32,156
7,38,64
70,47,64
26,40,64
54,45,64
36,42,156
85,47,159
11,40,64
32,37,155
64,53,64
21,36,64
35,43,64
31,38,64
30,36,64
12,42,64
54,39,154
39,45,64
48,39,64
10,41,64
23,37,64
14,40,64
28,44,64
30,33,173
2,31,64
58,47,169
18,39,64
64,46,156
35,28,158
83,43,64
86,37,173
95,43,64
107,43,64
104,43,152
113,43,173
88,44,171
24,30,169
56,34,174
115,41,174
113,37,174
105,39,169
79,41,158
110,40,174
98,43,64
96,45,169
75,42,169
81,36,171
110,37,175
106,44,64
90,33,64
88,41,64
69,33,64
93,45,152
87,42,154
115,38,64
63,33,64
98,46,64
64,38,158
41,28,64
78,42,152
45,33,158
41,31,159
66,36,64
90,39,173
79,38,173
99,45,175
117,39,157
89,43,173
62,34,154
86,40,64
84,42,155
103,41,64
97,44,171
86,43,155
101,37,158
65,31,173
51,33,64
13,23,154
43,35,64
84,39,156
83,40,171
21,27,64
73,35,64
42,30,64
84,36,171
83,31,64
46,35,171
62,28,171
33,30,64
68,28,154
87,33,64
90,36,64
54,33,154
100,38,171
28,32,64
72,33,159
30,30,64
35,31,64
17,25,64
124,41,153
79,32,153
56,28,158
74,31,171
3,27,64
49,35,157
17,28,171
76,41,157
47,31,64
4,23,64
34,32,64
59,28,173
49,29,64
54,27,171
60,36,157
19,29,171
69,30,64
83,34,171
33,33,158
36,30,173
49,26,154
12,27,64
70,32,153
41,25,175
50,31,64
24,24,64
15,27,64
50,28,64
39,27,64
14,28,64
7,26,171
57,27,173
43,23,155
39,24,171
33,21,156
3,24,64
1,20,158
35,22,175
31,23,171
10,20,64
4,20,154
38,22,154
1,14,64
13,17,64
25,23,171
8,19,153
20,19,64
3,15,153
1,17,175
107,40,152
82,41,169
91,44,158
118,41,64
100,41,158
90,45,64
86,34,64
77,40,173
105,45,64
101,40,175
71,34,64
121,41,171
58,35,64
99,42,173
18,24,64
81,33,156
65,34,64
67,38,64
12,24,64
102,39,171
95,34,154
74,34,175
70,35,64
23,28,154
103,35,156
14,25,64
67,32,175
52,35,64
73,32,171
19,26,64
37,29,173
44,31,64
15,30,64
85,41,156
70,29,64
43,29,64
38,25,157
68,31,64
42,24,64
11,16,171
37,32,156
52,32,64
16,23,171
45,24,157
48,24,64
24,21,171
12,18,64
6,24,175
9,18,158
19,20,64
92,43,169
111,42,152
108,42,64
80,34,64
35,34,64
91,41,64
81,42,171
85,38,175
105,42,156
58,38,171
23,31,64
32,22,64
79,35,64
103,38,64
32,25,64
97,41,156
82,35,64
17,22,171
39,33,64
8,22,64
95,46,64
109,41,153
71,31,64
9,24,173
8,28,171
46,29,156
51,27,64
38,34,175
45,27,169
48,33,175
76,35,173
66,39,171
57,30,154
29,22,175
25,20,64
97,38,175
100,44,173
56,3,64
9,15,64
77,37,153
34,26,64
23,25,64
64,43,170
60,27,154
20,25,64
39,15,153
47,10,158
33,9,158
52,14,157
34,11,157
33,12,155
22,11,155
110,25,174
109,29,170
108,27,170
116,31,169
119,28,174
124,26,170
110,28,152
124,29,174
126,33,169
126,36,171
116,37,64
92,25,152
71,28,64
101,28,152
101,34,64
110,31,173
120,30,154
121,35,64
114,30,156
117,33,152
96,21,154
104,31,156
124,38,64
108,33,171
111,33,173
99,21,64
96,27,175
115,32,173
127,38,64
120,33,153
111,30,156
102,33,173
123,33,64
124,32,64
96,30,154
116,25,175
127,29,173
109,32,64
87,21,156
108,24,171
126,30,64
95,22,173
101,22,154
99,30,171
107,31,64
125,37,171
102,24,64
80,28,64
123,27,64
100,23,64
86,19,156
94,29,64
55,23,64
95,28,64
74,22,157
65,19,158
84,24,171
100,32,171
61,26,64
98,28,175
118,29,171
35,19,64
104,25,154
78,24,64
31,17,64
72,24,64
98,25,173
42,21,64
36,15,171
86,25,64
61,23,64
106,26,171
111,27,64
44,22,64
63,24,64
97,23,64
60,21,64
59,25,64
111,24,64
121,26,175
47,22,64
36,21,64
21,15,64
62,16,64
37,20,64
15,12,64
84,18,171
40,20,64
79,26,64
67,20,64
103,23,175
51,18,64
78,21,64
53,19,64
38,19,64
94,23,64
91,20,171
8,13,64
66,18,64
60,18,153
46,20,64
50,16,64
47,19,64
68,19,64
57,15,64
6,15,64
24,15,64
49,14,64
57,21,64
80,19,64
45,15,64
50,13,64
79,17,64
79,20,64
9,12,64
17,16,64
74,16,64
49,17,171
58,17,171
51,15,64
25,14,64
59,16,64
55,14,64
48,15,153
66,15,64
23,13,64
75,18,64
26,13,64
47,16,158
76,23,154
73,17,175
26,10,64
54,18,154
24,9,64
63,18,154
25,11,64
38,10,64
30,12,64
64,14,175
61,14,64
59,13,175
106,14,64
105,27,174
98,22,173
115,35,171
119,37,171
90,30,173
107,34,171
121,38,64
106,35,64
69,18,64
70,26,64
113,25,64
32,19,64
89,22,64
93,30,64
118,26,64
93,21,64
85,29,64
35,16,64
39,18,64
31,14,64
48,18,64
49,20,64
12,12,64
50,19,64
28,17,64
25,17,64
51,21,64
71,19,64
53,16,64
41,13,64
